"Ticket","Order","Time","Symbol","Volume","Type","Direction","Price","Stop Loss","Take Profit","Commission","Swap","Profit","MAE","MFE","Comment","SL Triggered","TP Triggered","Account","Currency","Verified","Change"
"592967014","753018164","2021-05-18 10:05:14","WDOM21","1.00","sell","in","5266.50000","5278.00000","4768.00000","0.00","0.00","0.00","0.00","0.00","181006/11.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"593085619","753159543","2021-05-18 10:40:08","WDOM21","1.00","buy","out","5261.50000","5278.00000","4768.00000","0.00","0.00","50.00","0.00","0.00","[sl 5261.500]","True","False","92666542","BRL","True","5.0"
"595403242","755926224","2021-05-20 10:05:00","WDOM21","1.00","sell","in","5296.00000","5306.00000","4796.00000","0.00","0.00","0.00","0.00","0.00","201006/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"595480914","756021629","2021-05-20 10:34:29","WDOM21","1.00","buy","out","5291.00000","5306.00000","4796.00000","0.00","0.00","50.00","0.00","0.00","[sl 5291.000]","True","False","92666542","BRL","True","5.0"
"596319045","757096875","2021-05-21 11:05:04","WDOM21","1.00","buy","in","5294.50000","5284.00000","5794.00000","0.00","0.00","0.00","0.00","0.00","211106/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"596356352","757144000","2021-05-21 11:16:40","WDOM21","1.00","sell","out","5313.00000","5284.00000","5794.00000","0.00","0.00","185.00","0.00","0.00","[sl 5313.000]","True","False","92666542","BRL","True","18.5"
"597647215","758786561","2021-05-25 11:05:31","WDOM21","1.00","sell","in","5320.00000","5330.50000","4820.50000","0.00","0.00","0.00","0.00","0.00","251106/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"597671430","758816112","2021-05-25 11:18:27","WDOM21","1.00","buy","out","5314.50000","5330.50000","4820.50000","0.00","0.00","55.00","0.00","0.00","[sl 5314.500]","True","False","92666542","BRL","True","5.5"
"598330018","759666046","2021-05-26 11:00:00","WDOM21","1.00","sell","in","5336.00000","5346.00000","4836.00000","0.00","0.00","0.00","0.00","0.00","261101/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"598376015","759725856","2021-05-26 11:26:26","WDOM21","1.00","buy","out","5329.50000","5346.00000","4836.00000","0.00","0.00","65.00","0.00","0.00","[sl 5329.500]","True","False","92666542","BRL","True","6.5"
"599085513","760650595","2021-05-27 11:25:03","WDOM21","1.00","sell","in","5283.50000","5294.00000","4784.00000","0.00","0.00","0.00","0.00","0.00","271126/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"599114820","760687034","2021-05-27 11:37:06","WDOM21","1.00","buy","out","5277.00000","5294.00000","4784.00000","0.00","0.00","65.00","0.00","0.00","[sl 5277.000]","True","False","92666542","BRL","True","6.5"
"600055899","761888117","2021-05-28 13:11:01","WDOM21","1.00","sell","in","5220.50000","5230.50000","4720.50000","0.00","0.00","0.00","0.00","0.00","281311/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"600083926","761924437","2021-05-28 13:35:18","WDOM21","1.00","buy","out","5230.50000","5230.50000","4720.50000","0.00","0.00","-100.00","0.00","0.00","[sl 5230.500]","True","False","92666542","BRL","True","-10.0"
"602739510","765445209","2021-06-02 14:35:03","WDON21","1.00","sell","in","5100.00000","5110.50000","4600.50000","0.00","0.00","0.00","0.00","0.00","021436/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"602767607","765483683","2021-06-02 14:49:11","WDON21","1.00","buy","out","5094.00000","5110.50000","4600.50000","0.00","0.00","60.00","0.00","11.00","[sl 5094.000]","True","False","92666542","BRL","True","6.0"
"603459919","766453260","2021-06-04 12:05:00","WDON21","1.00","sell","in","5078.50000","5088.50000","4578.50000","0.00","0.00","0.00","0.00","0.00","041206/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"603470947","766468236","2021-06-04 12:13:24","WDON21","1.00","buy","out","5088.50000","5088.50000","4578.50000","0.00","0.00","-100.00","-10.00","0.00","[sl 5088.500]","True","False","92666542","BRL","True","-10.0"
"604514205","767889658","2021-06-07 14:02:52","WDON21","1.00","sell","in","5048.50000","5059.00000","4549.00000","0.00","0.00","0.00","0.00","0.00","071403/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"604737190","768252054","2021-06-07 17:00:00","WDON21","1.00","buy","out","5049.00000","5059.00000","4549.00000","0.00","0.00","-5.00","-10.00","8.00","071403/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","-0.5"
"605047197","768646263","2021-06-08 10:20:04","WDON21","1.00","sell","in","5065.00000","5075.50000","4565.50000","0.00","0.00","0.00","0.00","0.00","081021/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"605295258","768921565","2021-06-08 10:47:03","WDON21","1.00","buy","out","5075.50000","5075.50000","4565.50000","0.00","0.00","-105.00","-10.50","2.00","[sl 5075.500]","True","False","92666542","BRL","True","-10.5"
"609273277","773302963","2021-06-09 10:55:08","WDON21","1.00","sell","in","5051.50000","5062.00000","4552.00000","0.00","0.00","0.00","0.00","0.00","091056/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"609543937","773586712","2021-06-09 11:14:17","WDON21","1.00","buy","out","5062.00000","5062.00000","4552.00000","0.00","0.00","-105.00","-10.50","6.50","[sl 5062.000]","True","False","92666542","BRL","True","-10.5"
"613366410","777666523","2021-06-10 10:19:46","WDON21","1.00","sell","in","5054.50000","5065.00000","4555.00000","0.00","0.00","0.00","0.00","0.00","101020/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"613491092","777797989","2021-06-10 10:28:39","WDON21","1.00","buy","out","5065.00000","5065.00000","4555.00000","0.00","0.00","-105.00","-12.00","1.50","[sl 5065.000]","True","False","92666542","BRL","True","-10.5"
"617847321","782743627","2021-06-11 16:00:00","WDON21","1.00","sell","in","5122.50000","5133.00000","4623.00000","0.00","0.00","0.00","0.00","0.00","111601/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"617893887","782819107","2021-06-11 16:51:32","WDON21","1.00","buy","out","5133.00000","5133.00000","4623.00000","0.00","0.00","-105.00","-10.50","0.00","[sl 5133.000]","True","False","92666542","BRL","True","-10.5"
"618069087","783051700","2021-06-14 10:06:08","WDON21","1.00","sell","in","5091.50000","5102.00000","4592.00000","0.00","0.00","0.00","0.00","0.00","141006/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"618932724","783990843","2021-06-14 12:14:57","WDON21","1.00","buy","out","5069.50000","5102.00000","4592.00000","0.00","0.00","220.00","-5.50","27.00","[sl 5069.500]","True","False","92666542","BRL","True","22.0"
"620378703","785812905","2021-06-15 12:35:09","WDON21","1.00","buy","in","5095.00000","5084.50000","5594.50000","0.00","0.00","0.00","0.00","0.00","151236/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"620587548","786108204","2021-06-15 14:23:44","WDON21","1.00","sell","out","5084.50000","5084.50000","5594.50000","0.00","0.00","-105.00","-10.50","9.00","[sl 5084.500]","True","False","92666542","BRL","True","-10.5"
"621349898","787143315","2021-06-16 12:00:00","WDON21","1.00","sell","in","5023.00000","5033.50000","4523.50000","0.00","0.00","0.00","0.00","0.00","161201/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"621377868","787180366","2021-06-16 12:10:37","WDON21","1.00","buy","out","5021.00000","5033.50000","4523.50000","0.00","0.00","20.00","-3.50","10.00","[sl 5021.000]","True","False","92666542","BRL","True","2.0"
"622696508","788933294","2021-06-17 12:35:07","WDON21","1.00","sell","in","5016.00000","5026.50000","4516.50000","0.00","0.00","0.00","0.00","0.00","171236/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"622717392","788960609","2021-06-17 12:40:51","WDON21","1.00","buy","out","5026.00000","5026.50000","4516.50000","0.00","0.00","-100.00","-10.00","1.00","[sl 5026.000]","True","False","92666542","BRL","True","-10.0"
"623382260","789869069","2021-06-18 10:00:29","WDON21","1.00","sell","in","5004.50000","5015.00000","4505.00000","0.00","0.00","0.00","0.00","0.00","181001/10.500/0/RC-Filtros WDO","False","False","92666542","BRL","True","0.0"
"623411893","789904479","2021-06-18 10:06:06","WDON21","1.00","buy","out","5002.50000","5015.00000","4505.00000","0.00","0.00","20.00","-10.00","6.50","[sl 5002.500]","True","False","92666542","BRL","True","2.0"
